  Elapsed time	   ECG1	   ECG2
       0:15.656	 -0.215	  0.005
       0:15.664	 -0.185	 -0.005
       0:15.672	 -0.155	 -0.005
       0:15.680	 -0.195	 -0.015
       0:15.688	 -0.175	 -0.015
       0:15.695	 -0.175	 -0.015
       0:15.703	 -0.185	  0.005
       0:15.711	 -0.155	  0.015
       0:15.719	 -0.205	 -0.015
       0:15.727	 -0.185	 -0.035
       0:15.734	 -0.175	  0.005
       0:15.742	 -0.145	 -0.015
       0:15.750	 -0.225	 -0.015
       0:15.758	 -0.165	 -0.005
       0:15.766	 -0.105	  0.045
       0:15.773	 -0.125	  0.045
       0:15.781	 -0.125	  0.065
       0:15.789	 -0.045	  0.085
       0:15.797	 -0.015	  0.005
       0:15.805	 -0.045	 -0.015
       0:15.813	 -0.085	 -0.055
       0:15.820	 -0.185	 -0.035
       0:15.828	 -0.175	 -0.005
       0:15.836	 -0.165	  0.005
       0:15.844	 -0.175	 -0.015
       0:15.852	 -0.215	 -0.005
       0:15.859	 -0.225	 -0.015
       0:15.867	 -0.235	 -0.035
       0:15.875	 -0.235	 -0.025
       0:15.883	 -0.235	 -0.015
       0:15.891	 -0.205	 -0.015
       0:15.898	 -0.305	  0.095
       0:15.906	 -0.925	  0.195
       0:15.914	 -0.745	 -0.045
       0:15.922	  0.525	 -0.415
       0:15.930	  2.195	 -0.245
       0:15.938	  2.775	  0.005
       0:15.945	  2.555	  0.525
       0:15.953	  1.315	 -0.455
       0:15.961	 -0.105	 -0.765
       0:15.969	 -0.325	 -0.285
       0:15.977	 -0.265	 -0.025
       0:15.984	 -0.315	  0.015
       0:15.992	 -0.365	 -0.015
       0:16.000	 -0.385	 -0.025
       0:16.008	 -0.385	 -0.035
       0:16.016	 -0.345	 -0.015
       0:16.023	 -0.375	 -0.015
       0:16.031	 -0.345	 -0.065
       0:16.039	 -0.315	 -0.055
       0:16.047	 -0.315	 -0.035
       0:16.055	 -0.335	 -0.065
       0:16.063	 -0.255	 -0.075
       0:16.070	 -0.235	 -0.065
       0:16.078	 -0.215	 -0.065
       0:16.086	 -0.215	 -0.095
       0:16.094	 -0.195	 -0.135
       0:16.102	 -0.175	 -0.135
       0:16.109	 -0.165	 -0.135
       0:16.117	 -0.185	 -0.185
       0:16.125	 -0.165	 -0.195
       0:16.133	 -0.175	 -0.205
       0:16.141	 -0.225	 -0.215
       0:16.148	 -0.255	 -0.205
       0:16.156	 -0.255	 -0.215
       0:16.164	 -0.255	 -0.215
       0:16.172	 -0.255	 -0.175
       0:16.180	 -0.225	 -0.135
       0:16.188	 -0.215	 -0.105
       0:16.195	 -0.185	 -0.065
       0:16.203	 -0.185	 -0.005
       0:16.211	 -0.175	 -0.015
       0:16.219	 -0.155	 -0.015
       0:16.227	 -0.185	  0.005
       0:16.234	 -0.175	  0.035
       0:16.242	 -0.185	  0.035
       0:16.250	 -0.245	  0.005
       0:16.258	 -0.195	  0.015
       0:16.266	 -0.175	  0.035
       0:16.273	 -0.185	  0.045
       0:16.281	 -0.175	  0.005
       0:16.289	 -0.185	  0.005
       0:16.297	 -0.175	  0.025
       0:16.305	 -0.205	  0.015
       0:16.313	 -0.215	 -0.005
       0:16.320	 -0.175	 -0.005
       0:16.328	 -0.165	  0.025
       0:16.336	 -0.155	  0.025
       0:16.344	 -0.175	  0.015
       0:16.352	 -0.175	  0.045
       0:16.359	 -0.195	 -0.005
       0:16.367	 -0.185	  0.015
       0:16.375	 -0.125	  0.045
       0:16.383	 -0.115	  0.055
       0:16.391	 -0.115	  0.055
       0:16.398	 -0.115	  0.085
       0:16.406	  0.005	  0.035
       0:16.414	 -0.035	  0.005
       0:16.422	 -0.105	 -0.055
       0:16.430	 -0.135	 -0.025
       0:16.438	 -0.155	 -0.005
       0:16.445	 -0.165	  0.025
       0:16.453	 -0.195	  0.025
       0:16.461	 -0.245	  0.005
       0:16.469	 -0.225	  0.005
       0:16.477	 -0.235	 -0.015
       0:16.484	 -0.285	 -0.005
       0:16.492	 -0.225	 -0.005
       0:16.500	 -0.205	 -0.005
       0:16.508	 -0.215	  0.045
       0:16.516	 -0.735	  0.235
       0:16.523	 -0.835	  0.005
       0:16.531	  0.075	 -0.545
       0:16.539	  1.785	 -0.305
       0:16.547	  2.745	  0.105
       0:16.555	  2.605	  0.765
       0:16.563	  1.675	 -0.215
       0:16.570	  0.135	 -0.865
       0:16.578	 -0.315	 -0.295
       0:16.586	 -0.285	 -0.005
       0:16.594	 -0.365	 -0.025
       0:16.602	 -0.375	 -0.005
       0:16.609	 -0.355	 -0.015
       0:16.617	 -0.375	 -0.045
       0:16.625	 -0.375	 -0.045
       0:16.633	 -0.385	 -0.035
       0:16.641	 -0.335	 -0.075
       0:16.648	 -0.335	 -0.055
       0:16.656	 -0.305	 -0.075
       0:16.664	 -0.295	 -0.065
       0:16.672	 -0.255	 -0.085
       0:16.680	 -0.225	 -0.095
       0:16.688	 -0.225	 -0.105
       0:16.695	 -0.205	 -0.135
       0:16.703	 -0.185	 -0.155
       0:16.711	 -0.175	 -0.165
       0:16.719	 -0.165	 -0.215
       0:16.727	 -0.145	 -0.225
       0:16.734	 -0.175	 -0.225
       0:16.742	 -0.155	 -0.235
       0:16.750	 -0.175	 -0.235
       0:16.758	 -0.235	 -0.285
       0:16.766	 -0.225	 -0.255
       0:16.773	 -0.205	 -0.215
       0:16.781	 -0.225	 -0.215
       0:16.789	 -0.215	 -0.165
       0:16.797	 -0.165	 -0.085
       0:16.805	 -0.155	 -0.095
       0:16.813	 -0.155	 -0.055
       0:16.820	 -0.205	 -0.015
       0:16.828	 -0.125	  0.005
       0:16.836	 -0.175	  0.025
       0:16.844	 -0.165	 -0.005
       0:16.852	 -0.185	  0.015
       0:16.859	 -0.155	  0.065
       0:16.867	 -0.155	  0.005
       0:16.875	 -0.165	 -0.015
       0:16.883	 -0.175	 -0.015
       0:16.891	 -0.155	  0.045
       0:16.898	 -0.165	  0.005
       0:16.906	 -0.175	  0.005
       0:16.914	 -0.145	  0.005
       0:16.922	 -0.145	  0.015
       0:16.930	 -0.155	  0.025
       0:16.938	 -0.165	 -0.005
       0:16.945	 -0.135	 -0.005
       0:16.953	 -0.165	  0.025
       0:16.961	 -0.175	  0.005
       0:16.969	 -0.135	 -0.005
       0:16.977	 -0.145	 -0.005
       0:16.984	 -0.165	  0.045
       0:16.992	 -0.125	  0.005
       0:17.000	 -0.105	  0.035
       0:17.008	 -0.085	  0.045
       0:17.016	 -0.085	  0.055
       0:17.023	 -0.085	  0.065
       0:17.031	  0.035	  0.055
       0:17.039	  0.025	 -0.005
       0:17.047	 -0.045	 -0.035
       0:17.055	 -0.095	 -0.065
       0:17.063	 -0.115	 -0.025
       0:17.070	 -0.115	  0.005
       0:17.078	 -0.135	 -0.005
       0:17.086	 -0.155	 -0.015
       0:17.094	 -0.205	 -0.025
       0:17.102	 -0.215	 -0.035
       0:17.109	 -0.195	 -0.015
       0:17.117	 -0.195	 -0.025
       0:17.125	 -0.195	 -0.045
       0:17.133	 -0.175	 -0.015
       0:17.141	 -0.325	  0.175
       0:17.148	 -0.845	  0.065
       0:17.156	 -0.585	 -0.385
       0:17.164	  1.055	 -0.635
       0:17.172	  2.595	 -0.125
       0:17.180	  2.755	  0.605
       0:17.188	  2.315	  0.625
       0:17.195	  0.725	 -0.715
       0:17.203	 -0.265	 -0.645
       0:17.211	 -0.265	 -0.165
       0:17.219	 -0.315	 -0.055
       0:17.227	 -0.305	 -0.075
       0:17.234	 -0.305	 -0.045
       0:17.242	 -0.375	 -0.095
       0:17.250	 -0.325	 -0.085
       0:17.258	 -0.305	 -0.065
       0:17.266	 -0.315	 -0.095
       0:17.273	 -0.265	 -0.105
       0:17.281	 -0.275	 -0.105
       0:17.289	 -0.265	 -0.095
       0:17.297	 -0.245	 -0.105
       0:17.305	 -0.235	 -0.125
       0:17.313	 -0.175	 -0.125
       0:17.320	 -0.145	 -0.135
       0:17.328	 -0.135	 -0.145
       0:17.336	 -0.125	 -0.165
       0:17.344	 -0.115	 -0.195
       0:17.352	 -0.125	 -0.205
       0:17.359	 -0.135	 -0.195
       0:17.367	 -0.105	 -0.245
       0:17.375	 -0.125	 -0.235
       0:17.383	 -0.145	 -0.225
       0:17.391	 -0.175	 -0.225
       0:17.398	 -0.175	 -0.215
       0:17.406	 -0.155	 -0.185
       0:17.414	 -0.105	 -0.165
       0:17.422	 -0.095	 -0.115
       0:17.430	 -0.065	 -0.075
       0:17.438	 -0.065	 -0.055
       0:17.445	 -0.095	 -0.035
       0:17.453	 -0.095	 -0.005
       0:17.461	 -0.125	 -0.005
       0:17.469	 -0.095	 -0.025
       0:17.477	 -0.125	 -0.015
       0:17.484	 -0.085	  0.015
       0:17.492	 -0.125	  0.015
       0:17.500	 -0.115	 -0.015
       0:17.508	 -0.125	 -0.015
       0:17.516	 -0.105	  0.015
       0:17.523	 -0.105	 -0.015
       0:17.531	 -0.095	 -0.015
       0:17.539	 -0.115	 -0.005
       0:17.547	 -0.085	  0.005
       0:17.555	 -0.115	 -0.005
       0:17.563	 -0.155	 -0.015
       0:17.570	 -0.115	 -0.015
       0:17.578	 -0.105	 -0.015
       0:17.586	 -0.095	  0.005
       0:17.594	 -0.105	 -0.015
       0:17.602	 -0.095	 -0.005
       0:17.609	 -0.105	 -0.005
       0:17.617	 -0.115	 -0.005
       0:17.625	 -0.095	 -0.025
       0:17.633	 -0.065	  0.005
       0:17.641	 -0.045	  0.025
       0:17.648	 -0.065	  0.035
       0:17.656	  0.005	  0.035
       0:17.664	  0.025	 -0.015
       0:17.672	 -0.005	 -0.055
       0:17.680	 -0.045	 -0.055
       0:17.688	 -0.105	 -0.045
       0:17.695	 -0.095	 -0.015
       0:17.703	 -0.145	  0.005
       0:17.711	 -0.155	 -0.025
       0:17.719	 -0.165	 -0.055
       0:17.727	 -0.185	 -0.055
       0:17.734	 -0.195	 -0.025
       0:17.742	 -0.205	 -0.035
       0:17.750	 -0.225	 -0.045
       0:17.758	 -0.205	 -0.025
       0:17.766	 -0.225	  0.045
       0:17.773	 -0.765	  0.075
       0:17.781	 -0.655	 -0.085
       0:17.789	  0.475	 -0.475
       0:17.797	  2.165	 -0.175
       0:17.805	  2.655	  0.105
       0:17.813	  2.465	  0.615
       0:17.820	  1.485	 -0.015
       0:17.828	 -0.055	 -0.625
       0:17.836	 -0.405	 -0.335
       0:17.844	 -0.275	 -0.135
       0:17.852	 -0.315	 -0.075
       0:17.859	 -0.345	 -0.085
       0:17.867	 -0.345	 -0.075
       0:17.875	 -0.375	 -0.105
       0:17.883	 -0.365	 -0.095
       0:17.891	 -0.355	 -0.105
       0:17.898	 -0.355	 -0.105
       0:17.906	 -0.315	 -0.135
       0:17.914	 -0.285	 -0.135
       0:17.922	 -0.245	 -0.125
       0:17.930	 -0.225	 -0.135
       0:17.938	 -0.215	 -0.175
       0:17.945	 -0.255	 -0.205
       0:17.953	 -0.215	 -0.175
       0:17.961	 -0.175	 -0.235
       0:17.969	 -0.185	 -0.235
       0:17.977	 -0.165	 -0.285
       0:17.984	 -0.145	 -0.285
       0:17.992	 -0.175	 -0.315
       0:18.000	 -0.195	 -0.315
       0:18.008	 -0.195	 -0.295
       0:18.016	 -0.215	 -0.325
       0:18.023	 -0.205	 -0.325
       0:18.031	 -0.195	 -0.295
       0:18.039	 -0.175	 -0.255
       0:18.047	 -0.135	 -0.235
       0:18.055	 -0.125	 -0.165
       0:18.063	 -0.095	 -0.135
       0:18.070	 -0.105	 -0.095
       0:18.078	 -0.125	 -0.055
       0:18.086	 -0.155	 -0.055
       0:18.094	 -0.115	 -0.065
       0:18.102	 -0.125	 -0.065
       0:18.109	 -0.135	 -0.045
       0:18.117	 -0.155	 -0.045
       0:18.125	 -0.145	 -0.045
       0:18.133	 -0.145	 -0.065
       0:18.141	 -0.125	 -0.045
       0:18.148	 -0.135	 -0.045
       0:18.156	 -0.125	 -0.065
       0:18.164	 -0.115	 -0.055
       0:18.172	 -0.115	 -0.045
       0:18.180	 -0.145	 -0.065
       0:18.188	 -0.135	 -0.055
       0:18.195	 -0.115	 -0.035
       0:18.203	 -0.115	 -0.055
       0:18.211	 -0.125	 -0.065
       0:18.219	 -0.145	 -0.065
       0:18.227	 -0.135	 -0.085
       0:18.234	 -0.135	 -0.045
       0:18.242	 -0.165	 -0.065
       0:18.250	 -0.135	 -0.045
       0:18.258	 -0.125	 -0.015
       0:18.266	 -0.075	  0.025
       0:18.273	 -0.085	  0.005
       0:18.281	 -0.015	  0.015
       0:18.289	  0.005	 -0.065
       0:18.297	 -0.055	 -0.095
       0:18.305	 -0.075	 -0.105
       0:18.313	 -0.095	 -0.085
       0:18.320	 -0.135	 -0.085
       0:18.328	 -0.155	 -0.035
       0:18.336	 -0.165	 -0.075
       0:18.344	 -0.185	 -0.075
       0:18.352	 -0.225	 -0.085
       0:18.359	 -0.225	 -0.075
       0:18.367	 -0.225	 -0.055
       0:18.375	 -0.225	 -0.075
       0:18.383	 -0.205	 -0.075
       0:18.391	 -0.195	  0.035
       0:18.398	 -0.755	  0.165
       0:18.406	 -0.735	 -0.065
       0:18.414	  0.355	 -0.555
       0:18.422	  2.085	 -0.255
       0:18.430	  2.825	  0.035
       0:18.438	  2.655	  0.625
       0:18.445	  1.615	 -0.365
       0:18.453	 -0.045	 -0.875
       0:18.461	 -0.365	 -0.345
       0:18.469	 -0.295	 -0.065
       0:18.477	 -0.305	 -0.045
       0:18.484	 -0.345	 -0.065
       0:18.492	 -0.365	 -0.075
       0:18.500	 -0.355	 -0.085
       0:18.508	 -0.335	 -0.095
       0:18.516	 -0.315	 -0.105
       0:18.523	 -0.305	 -0.095
       0:18.531	 -0.325	 -0.115
       0:18.539	 -0.265	 -0.115
       0:18.547	 -0.245	 -0.115
       0:18.555	 -0.245	 -0.125
       0:18.563	 -0.215	 -0.145
       0:18.570	 -0.165	 -0.125
       0:18.578	 -0.185	 -0.165
       0:18.586	 -0.185	 -0.205
       0:18.594	 -0.125	 -0.225
       0:18.602	 -0.145	 -0.245
       0:18.609	 -0.155	 -0.235
       0:18.617	 -0.135	 -0.275
       0:18.625	 -0.155	 -0.305
       0:18.633	 -0.185	 -0.295
       0:18.641	 -0.155	 -0.265
       0:18.648	 -0.215	 -0.265
       0:18.656	 -0.235	 -0.245
       0:18.664	 -0.215	 -0.235
       0:18.672	 -0.155	 -0.155
       0:18.680	 -0.145	 -0.145
       0:18.688	 -0.125	 -0.075
       0:18.695	 -0.125	 -0.085
       0:18.703	 -0.115	 -0.045
       0:18.711	 -0.155	 -0.025
       0:18.719	 -0.135	 -0.025
       0:18.727	 -0.125	 -0.025
       0:18.734	 -0.155	 -0.005
       0:18.742	 -0.155	 -0.025
       0:18.750	 -0.125	 -0.025
       0:18.758	 -0.125	  0.005
       0:18.766	 -0.145	 -0.005
       0:18.773	 -0.125	 -0.025
       0:18.781	 -0.155	 -0.035
       0:18.789	 -0.145	 -0.025
       0:18.797	 -0.125	  0.005
       0:18.805	 -0.145	 -0.025
       0:18.813	 -0.135	 -0.035
       0:18.820	 -0.085	 -0.025
       0:18.828	 -0.105	  0.005
       0:18.836	 -0.175	 -0.025
       0:18.844	 -0.125	 -0.045
       0:18.852	 -0.085	 -0.025
       0:18.859	 -0.135	 -0.005
       0:18.867	 -0.155	 -0.035
       0:18.875	 -0.125	 -0.035
       0:18.883	 -0.105	 -0.025
       0:18.891	 -0.065	  0.035
       0:18.898	 -0.055	  0.055
       0:18.906	 -0.095	  0.045
       0:18.914	 -0.025	  0.035
       0:18.922	  0.055	 -0.005
       0:18.930	 -0.035	 -0.035
       0:18.938	 -0.035	 -0.095
       0:18.945	 -0.065	 -0.055
       0:18.953	 -0.085	 -0.025
       0:18.961	 -0.105	 -0.005
       0:18.969	 -0.135	 -0.035
       0:18.977	 -0.185	 -0.055
       0:18.984	 -0.175	 -0.025
       0:18.992	 -0.185	 -0.035
       0:19.000	 -0.215	 -0.045
       0:19.008	 -0.185	 -0.055
       0:19.016	 -0.145	 -0.035
       0:19.023	 -0.135	  0.065
       0:19.031	 -0.675	  0.195
       0:19.039	 -0.745	 -0.015
       0:19.047	  0.215	 -0.595
       0:19.055	  1.955	 -0.335
       0:19.063	  2.835	  0.055
       0:19.070	  2.625	  0.695
       0:19.078	  1.495	 -0.505
       0:19.086	 -0.035	 -0.805
       0:19.094	 -0.275	 -0.245
       0:19.102	 -0.275	  0.005
       0:19.109	 -0.245	 -0.035
       0:19.117	 -0.325	 -0.045
       0:19.125	 -0.315	 -0.045
       0:19.133	 -0.325	 -0.035
       0:19.141	 -0.315	 -0.065
       0:19.148	 -0.295	 -0.055
       0:19.156	 -0.245	 -0.055
       0:19.164	 -0.275	 -0.085
       0:19.172	 -0.265	 -0.075
       0:19.180	 -0.215	 -0.075
       0:19.188	 -0.205	 -0.105
       0:19.195	 -0.185	 -0.105
       0:19.203	 -0.165	 -0.105
       0:19.211	 -0.135	 -0.135
       0:19.219	 -0.125	 -0.155
       0:19.227	 -0.125	 -0.175
       0:19.234	 -0.065	 -0.215
       0:19.242	 -0.085	 -0.225
       0:19.250	 -0.115	 -0.255
       0:19.258	 -0.085	 -0.245
       0:19.266	 -0.145	 -0.265
       0:19.273	 -0.155	 -0.285
       0:19.281	 -0.165	 -0.265
       0:19.289	 -0.185	 -0.225
       0:19.297	 -0.155	 -0.185
       0:19.305	 -0.145	 -0.175
       0:19.313	 -0.135	 -0.125
       0:19.320	 -0.125	 -0.055
       0:19.328	 -0.105	 -0.035
       0:19.336	 -0.105	 -0.015
       0:19.344	 -0.125	 -0.005
       0:19.352	 -0.135	  0.005
       0:19.359	 -0.095	  0.005
       0:19.367	 -0.135	 -0.005
       0:19.375	 -0.155	  0.015
       0:19.383	 -0.135	 -0.005
       0:19.391	 -0.105	  0.035
       0:19.398	 -0.135	  0.015
       0:19.406	 -0.095	 -0.005
       0:19.414	 -0.125	  0.005
       0:19.422	 -0.105	  0.015
       0:19.430	 -0.115	  0.025
       0:19.438	 -0.115	  0.025
       0:19.445	 -0.095	 -0.015
       0:19.453	 -0.105	 -0.005
       0:19.461	 -0.135	  0.035
       0:19.469	 -0.085	 -0.005
       0:19.477	 -0.105	 -0.025
       0:19.484	 -0.115	  0.005
       0:19.492	 -0.115	  0.005
       0:19.500	 -0.115	  0.015
       0:19.508	 -0.105	  0.005
       0:19.516	 -0.125	 -0.005
       0:19.523	 -0.125	  0.005
       0:19.531	 -0.105	 -0.005
       0:19.539	 -0.065	  0.035
       0:19.547	 -0.025	  0.055
       0:19.555	 -0.075	  0.045
       0:19.563	 -0.045	  0.065
       0:19.570	  0.045	  0.015
       0:19.578	  0.025	 -0.015
       0:19.586	 -0.025	 -0.075
       0:19.594	 -0.075	 -0.055
       0:19.602	 -0.085	 -0.035
       0:19.609	 -0.085	  0.015
       0:19.617	 -0.105	  0.015
       0:19.625	 -0.165	 -0.025
       0:19.633	 -0.165	 -0.045
       0:19.641	 -0.165	 -0.035
       0:19.648	 -0.185	 -0.005
       0:19.656	 -0.185	 -0.055
       0:19.664	 -0.145	 -0.035
       0:19.672	 -0.125	  0.045
       0:19.680	 -0.535	  0.205
       0:19.688	 -0.705	 -0.065
       0:19.695	 -0.015	 -0.665
       0:19.703	  1.785	 -0.345
       0:19.711	  2.745	  0.085
       0:19.719	  2.605	  0.815
       0:19.727	  1.695	 -0.155
       0:19.734	  0.165	 -0.835
       0:19.742	 -0.305	 -0.365
       0:19.750	 -0.255	 -0.045
       0:19.758	 -0.265	 -0.045
       0:19.766	 -0.315	 -0.055
       0:19.773	 -0.345	 -0.075
       0:19.781	 -0.315	 -0.075
       0:19.789	 -0.325	 -0.035
       0:19.797	 -0.285	 -0.065
       0:19.805	 -0.305	 -0.085
       0:19.813	 -0.285	 -0.095
       0:19.820	 -0.255	 -0.085
       0:19.828	 -0.245	 -0.115
       0:19.836	 -0.225	 -0.125
       0:19.844	 -0.185	 -0.135
       0:19.852	 -0.175	 -0.155
       0:19.859	 -0.175	 -0.175
       0:19.867	 -0.135	 -0.185
       0:19.875	 -0.135	 -0.205
       0:19.883	 -0.125	 -0.205
       0:19.891	 -0.095	 -0.265
       0:19.898	 -0.105	 -0.295
       0:19.906	 -0.105	 -0.295
       0:19.914	 -0.125	 -0.295
       0:19.922	 -0.145	 -0.285
       0:19.930	 -0.195	 -0.335
       0:19.938	 -0.155	 -0.295
       0:19.945	 -0.175	 -0.265
       0:19.953	 -0.135	 -0.185
       0:19.961	 -0.135	 -0.145
       0:19.969	 -0.135	 -0.105
       0:19.977	 -0.105	 -0.075
       0:19.984	 -0.125	 -0.035
       0:19.992	 -0.115	  0.005
       0:20.000	 -0.135	 -0.005
       0:20.008	 -0.155	 -0.005
       0:20.016	 -0.135	  0.015
       0:20.023	 -0.135	 -0.005
       0:20.031	 -0.175	  0.005
       0:20.039	 -0.155	  0.005
       0:20.047	 -0.145	  0.015
       0:20.055	 -0.135	  0.015
       0:20.063	 -0.155	 -0.025
       0:20.070	 -0.135	  0.045
       0:20.078	 -0.105	  0.005
       0:20.086	 -0.125	  0.025
       0:20.094	 -0.115	  0.015
       0:20.102	 -0.125	 -0.005
       0:20.109	 -0.125	  0.015
       0:20.117	 -0.115	  0.015
       0:20.125	 -0.105	 -0.005
       0:20.133	 -0.115	  0.005
       0:20.141	 -0.115	  0.025
       0:20.148	 -0.135	 -0.005
       0:20.156	 -0.135	 -0.005
       0:20.164	 -0.115	 -0.005
       0:20.172	 -0.125	  0.005
       0:20.180	 -0.125	 -0.005
       0:20.188	 -0.135	  0.025
       0:20.195	 -0.075	  0.045
       0:20.203	 -0.065	  0.055
       0:20.211	 -0.045	  0.045
       0:20.219	 -0.005	  0.055
       0:20.227	  0.045	 -0.005
       0:20.234	  0.005	 -0.035
       0:20.242	 -0.055	 -0.035
       0:20.250	 -0.085	 -0.055
       0:20.258	 -0.085	 -0.025
       0:20.266	 -0.075	  0.035
       0:20.273	 -0.115	 -0.005
       0:20.281	 -0.155	 -0.025
       0:20.289	 -0.155	 -0.035
       0:20.297	 -0.145	 -0.015
       0:20.305	 -0.145	 -0.015
       0:20.313	 -0.165	 -0.035
       0:20.320	 -0.165	  0.005
       0:20.328	 -0.115	  0.045
       0:20.336	 -0.525	  0.185
       0:20.344	 -0.675	 -0.105
       0:20.352	 -0.035	 -0.685
       0:20.359	  1.635	 -0.355
       0:20.367	  2.615	  0.145
       0:20.375	  2.515	  0.905
       0:20.383	  1.975	  0.235
       0:20.391	  0.455	 -0.825
       0:20.398	 -0.265	 -0.445
       0:20.406	 -0.225	 -0.085
       0:20.414	 -0.245	 -0.065
       0:20.422	 -0.285	 -0.045
       0:20.430	 -0.305	 -0.055
       0:20.438	 -0.295	 -0.085
       0:20.445	 -0.335	 -0.095
       0:20.453	 -0.255	 -0.075
       0:20.461	 -0.235	 -0.085
       0:20.469	 -0.225	 -0.105
       0:20.477	 -0.235	 -0.105
       0:20.484	 -0.215	 -0.095
       0:20.492	 -0.215	 -0.165
       0:20.500	 -0.175	 -0.175
       0:20.508	 -0.145	 -0.185
       0:20.516	 -0.155	 -0.175
       0:20.523	 -0.095	 -0.205
       0:20.531	 -0.085	 -0.255
       0:20.539	 -0.125	 -0.275
       0:20.547	 -0.105	 -0.325
       0:20.555	 -0.085	 -0.335
       0:20.563	 -0.075	 -0.355
       0:20.570	 -0.105	 -0.345
       0:20.578	 -0.105	 -0.335
       0:20.586	 -0.135	 -0.325
       0:20.594	 -0.155	 -0.295
       0:20.602	 -0.135	 -0.265
       0:20.609	 -0.095	 -0.225
       0:20.617	 -0.065	 -0.175
       0:20.625	 -0.065	 -0.115
       0:20.633	 -0.055	 -0.055
       0:20.641	 -0.055	 -0.035
       0:20.648	 -0.135	 -0.005
       0:20.656	 -0.135	  0.015
       0:20.664	 -0.125	 -0.005
       0:20.672	 -0.105	  0.015
       0:20.680	 -0.125	  0.025
       0:20.688	 -0.115	  0.005
       0:20.695	 -0.085	  0.025
       0:20.703	 -0.085	  0.035
       0:20.711	 -0.115	  0.035
       0:20.719	 -0.135	  0.015
       0:20.727	 -0.115	  0.005
       0:20.734	 -0.075	  0.045
       0:20.742	 -0.125	  0.035
       0:20.750	 -0.115	  0.005
       0:20.758	 -0.065	  0.025
       0:20.766	 -0.085	  0.045
       0:20.773	 -0.125	  0.005
       0:20.781	 -0.105	  0.005
       0:20.789	 -0.115	  0.015
       0:20.797	 -0.075	  0.025
       0:20.805	 -0.095	  0.025
       0:20.813	 -0.135	  0.025
       0:20.820	 -0.115	  0.025
       0:20.828	 -0.105	  0.015
       0:20.836	 -0.115	  0.005
       0:20.844	 -0.125	  0.015
       0:20.852	 -0.135	  0.005
       0:20.859	 -0.045	  0.075
       0:20.867	 -0.065	  0.055
       0:20.875	 -0.055	  0.045
       0:20.883	 -0.015	  0.065
       0:20.891	  0.075	  0.015
       0:20.898	  0.025	  0.005
       0:20.906	 -0.045	 -0.035
       0:20.914	 -0.085	 -0.025
       0:20.922	 -0.065	 -0.025
       0:20.930	 -0.085	  0.025
       0:20.938	 -0.065	 -0.005
       0:20.945	 -0.105	 -0.025
       0:20.953	 -0.155	 -0.005
       0:20.961	 -0.165	 -0.025
       0:20.969	 -0.165	 -0.035
       0:20.977	 -0.185	 -0.025
       0:20.984	 -0.135	 -0.015
       0:20.992	 -0.095	  0.065
       0:21.000	 -0.625	  0.115
       0:21.008	 -0.715	 -0.075
       0:21.016	  0.305	 -0.555
       0:21.023	  1.975	 -0.215
       0:21.031	  2.735	  0.135
       0:21.039	  2.575	  0.825
       0:21.047	  1.745	  0.105
       0:21.055	  0.065	 -0.775
       0:21.063	 -0.385	 -0.395
       0:21.070	 -0.285	 -0.085
       0:21.078	 -0.235	 -0.055
       0:21.086	 -0.325	 -0.055
       0:21.094	 -0.325	 -0.095
       0:21.102	 -0.305	 -0.085
       0:21.109	 -0.335	 -0.085
       0:21.117	 -0.295	 -0.095
       0:21.125	 -0.295	 -0.085
       0:21.133	 -0.255	 -0.125
       0:21.141	 -0.245	 -0.095
       0:21.148	 -0.225	 -0.135
       0:21.156	 -0.235	 -0.155
       0:21.164	 -0.205	 -0.145
       0:21.172	 -0.155	 -0.155
       0:21.180	 -0.145	 -0.195
       0:21.188	 -0.125	 -0.235
       0:21.195	 -0.135	 -0.215
       0:21.203	 -0.105	 -0.235
       0:21.211	 -0.115	 -0.265
       0:21.219	 -0.145	 -0.325
       0:21.227	 -0.125	 -0.315
       0:21.234	 -0.205	 -0.295
       0:21.242	 -0.155	 -0.285
       0:21.250	 -0.155	 -0.275
       0:21.258	 -0.145	 -0.255
       0:21.266	 -0.135	 -0.205
       0:21.273	 -0.125	 -0.155
       0:21.281	 -0.095	 -0.125
       0:21.289	 -0.085	 -0.055
       0:21.297	 -0.075	 -0.035
       0:21.305	 -0.105	 -0.035
       0:21.313	 -0.125	 -0.015
       0:21.320	 -0.115	 -0.015
       0:21.328	 -0.155	  0.005
       0:21.336	 -0.135	  0.025
       0:21.344	 -0.155	 -0.015
       0:21.352	 -0.105	 -0.005
       0:21.359	 -0.125	  0.005
       0:21.367	 -0.135	  0.025
       0:21.375	 -0.125	  0.005
       0:21.383	 -0.115	 -0.005
       0:21.391	 -0.125	  0.005
       0:21.398	 -0.105	 -0.005
       0:21.406	 -0.135	 -0.005
       0:21.414	 -0.115	 -0.005
       0:21.422	 -0.145	  0.035
       0:21.430	 -0.125	 -0.025
       0:21.438	 -0.125	 -0.025
       0:21.445	 -0.115	 -0.025
       0:21.453	 -0.095	  0.025
       0:21.461	 -0.125	  0.005
       0:21.469	 -0.115	  0.005
       0:21.477	 -0.135	 -0.025
       0:21.484	 -0.145	  0.025
       0:21.492	 -0.155	 -0.025
       0:21.500	 -0.155	 -0.035
